0.853553, 0.870476, 0.886505, 0.901604, 0.915735, 0.928864, 0.940961, 0.951995, 0.96194, 0.970772, 0.97847, 0.985016, 0.990393, 0.994588, 0.997592, 0.999398
0.836282, 0.85239, 0.867649, 0.882022, 0.895473, 0.907971, 0.919486, 0.929989, 0.939456, 0.947864, 0.955192, 0.961422, 0.966541, 0.970535, 0.973394, 0.975113
0.819821, 0.835154, 0.849679, 0.86336, 0.876165, 0.888062, 0.899023, 0.909021, 0.918032, 0.926035, 0.933011, 0.938942, 0.943814, 0.947616, 0.950338, 0.951974
0.804132, 0.818728, 0.832554, 0.845576, 0.857765, 0.869089, 0.879522, 0.889039, 0.897617, 0.905235, 0.911874, 0.91752, 0.922158, 0.925777, 0.928368, 0.929925
0.789179, 0.803072, 0.816232, 0.828627, 0.840228, 0.851008, 0.860938, 0.869997, 0.878162, 0.885413, 0.891733, 0.897107, 0.901521, 0.904966, 0.907432, 0.908914
0.774925, 0.788149, 0.800675, 0.812473, 0.823515, 0.833775, 0.843227, 0.85185, 0.859621, 0.866523, 0.872538, 0.877653, 0.881855, 0.885133, 0.887481, 0.888892
0.761338, 0.773924, 0.785846, 0.797076, 0.807586, 0.817351, 0.826348, 0.834554, 0.841951, 0.84852, 0.854245, 0.859114, 0.863113, 0.866233, 0.868468, 0.86981
0.748385, 0.760364, 0.771711, 0.782399, 0.792402, 0.801696, 0.810259, 0.818069, 0.825109, 0.831361, 0.836811, 0.841444, 0.84525, 0.84822, 0.850347, 0.851625
0.736037, 0.747437, 0.758236, 0.768408, 0.777928, 0.786774, 0.794923, 0.802357, 0.809057, 0.815007, 0.820193, 0.824603, 0.828225, 0.831052, 0.833076, 0.834292
0.724263, 0.735113, 0.74539, 0.755071, 0.764131, 0.772549, 0.780304, 0.787379, 0.793755, 0.799418, 0.804353, 0.80855, 0.811998, 0.814688, 0.816614, 0.817771
0.713037, 0.723362, 0.733143, 0.742355, 0.750977, 0.758988, 0.766368, 0.7731, 0.779168, 0.784557, 0.789254, 0.793248, 0.796529, 0.799089, 0.800921, 0.802023
0.702333, 0.712158, 0.721465, 0.730231, 0.738436, 0.746059, 0.753082, 0.759488, 0.765262, 0.77039, 0.77486, 0.77866, 0.781782, 0.784218, 0.785962, 0.787011
0.692124, 0.701473, 0.710329, 0.718671, 0.726478, 0.733731, 0.740414, 0.74651, 0.752004, 0.756884, 0.761137, 0.764753, 0.767724, 0.770041, 0.771701, 0.772699
0.682389, 0.691284, 0.69971, 0.707647, 0.715075, 0.721977, 0.728335, 0.734135, 0.739363, 0.744006, 0.748052, 0.751493, 0.754319, 0.756525, 0.758104, 0.759053
0.673103, 0.681566, 0.689583, 0.697134, 0.704201, 0.710767, 0.716817, 0.722335, 0.727309, 0.731726, 0.735576, 0.738849, 0.741539, 0.743637, 0.745139, 0.746042
0.664245, 0.672296, 0.679923, 0.687107, 0.69383, 0.700077, 0.705832, 0.711082, 0.715813, 0.720016, 0.723678, 0.726792, 0.729351, 0.731347, 0.732776, 0.733635
0.655795, 0.663454, 0.670709, 0.677542, 0.683938, 0.68988, 0.695355, 0.700349, 0.70485, 0.708847, 0.712331, 0.715294, 0.717727, 0.719626, 0.720986, 0.721803
0.647733, 0.655018, 0.661919, 0.668419, 0.674502, 0.680154, 0.685361, 0.690111, 0.694393, 0.698195, 0.701509, 0.704327, 0.706641, 0.708448, 0.709741, 0.710518
0.640041, 0.646969, 0.653532, 0.659714, 0.6655, 0.670875, 0.675828, 0.680345, 0.684417, 0.688034, 0.691185, 0.693865, 0.696067, 0.697785, 0.699015, 0.699754
0.6327, 0.639288, 0.64553, 0.651408, 0.65691, 0.662022, 0.666732, 0.671028, 0.6749, 0.678339, 0.681337, 0.683885, 0.685979, 0.687612, 0.688782, 0.689485
0.625694, 0.631958, 0.637893, 0.643483, 0.648714, 0.653575, 0.658053, 0.662138, 0.66582, 0.66909, 0.67194, 0.674363, 0.676354, 0.677907, 0.679019, 0.679687
0.619006, 0.624962, 0.630604, 0.635918, 0.640892, 0.645513, 0.64977, 0.653654, 0.657155, 0.660263, 0.662973, 0.665277, 0.667169, 0.668646, 0.669703, 0.670339
0.612621, 0.618283, 0.623646, 0.628697, 0.633425, 0.637818, 0.641865, 0.645557, 0.648884, 0.651839, 0.654415, 0.656605, 0.658404, 0.659807, 0.660812, 0.661417
0.606525, 0.611906, 0.617003, 0.621804, 0.626297, 0.630472, 0.634319, 0.637827, 0.64099, 0.643798, 0.646246, 0.648327, 0.650037, 0.651371, 0.652326, 0.6529
0.600703, 0.605816, 0.61066, 0.615222, 0.619492, 0.623459, 0.627114, 0.630448, 0.633452, 0.636121, 0.638447, 0.640425, 0.64205, 0.643317, 0.644225, 0.644771
0.595143, 0.6, 0.604602, 0.608936, 0.612992, 0.616761, 0.620233, 0.623401, 0.626255, 0.628791, 0.631001, 0.632879, 0.634423, 0.635627, 0.63649, 0.637008
0.58983, 0.594444, 0.598815, 0.602931, 0.606784, 0.610364, 0.613662, 0.61667, 0.619382, 0.62179, 0.623889, 0.625673, 0.627139, 0.628283, 0.629102, 0.629594
0.584754, 0.589135, 0.593285, 0.597194, 0.600853, 0.604252, 0.607384, 0.610241, 0.612815, 0.615102, 0.617095, 0.61879, 0.620182, 0.621268, 0.622046, 0.622513
0.579903, 0.584062, 0.588002, 0.591712, 0.595185, 0.598412, 0.601385, 0.604097, 0.606541, 0.608712, 0.610604, 0.612213, 0.613534, 0.614565, 0.615304, 0.615747
