1, 0.990393, 0.96194, 0.915735, 0.853553, 0.777785, 0.691342, 0.597545, 0.5, 0.402455, 0.308658, 0.222215, 0.146447, 0.0842652, 0.0380602, 0.00960736, 3.7494e-33, 0.00960736, 0.0380602, 0.0842652, 0.146447, 0.222215, 0.308658, 0.402455, 0.5, 0.597545, 0.691342, 0.777785, 0.853553, 0.915735, 0.96194, 0.990393
0.909753, 0.901862, 0.878493, 0.840543, 0.789472, 0.727242, 0.656243, 0.579206, 0.49909, 0.418973, 0.341936, 0.270937, 0.208707, 0.157636, 0.119686, 0.0963172, 0.0884265, 0.0963174, 0.119687, 0.157636, 0.208708, 0.270938, 0.341936, 0.418974, 0.499091, 0.579207, 0.656244, 0.727242, 0.789472, 0.840544, 0.878493, 0.901862
0.835297, 0.828819, 0.809635, 0.778483, 0.736559, 0.685475, 0.627194, 0.563955, 0.498189, 0.432422, 0.369183, 0.310901, 0.259817, 0.217893, 0.186741, 0.167558, 0.161081, 0.167558, 0.186742, 0.217894, 0.259818, 0.310902, 0.369183, 0.432423, 0.498189, 0.563956, 0.627194, 0.685476, 0.73656, 0.778484, 0.809636, 0.828819
0.773813, 0.7685, 0.752765, 0.727213, 0.692826, 0.650925, 0.603121, 0.55125, 0.497306, 0.443362, 0.391491, 0.343686, 0.301785, 0.267398, 0.241846, 0.226112, 0.220799, 0.226112, 0.241847, 0.267399, 0.301786, 0.343687, 0.391491, 0.443362, 0.497306, 0.55125, 0.603121, 0.650925, 0.692827, 0.727214, 0.752766, 0.7685
0.722983, 0.718631, 0.705739, 0.684805, 0.656633, 0.622305, 0.583141, 0.540645, 0.496451, 0.452256, 0.40976, 0.370596, 0.336268, 0.308095, 0.287162, 0.274271, 0.269918, 0.274271, 0.287162, 0.308096, 0.336268, 0.370596, 0.40976, 0.452256, 0.496451, 0.540645, 0.583141, 0.622306, 0.656634, 0.684807, 0.70574, 0.718631
0.680895, 0.677336, 0.666793, 0.649673, 0.626633, 0.598558, 0.566529, 0.531775, 0.495631, 0.459488, 0.424734, 0.392705, 0.36463, 0.341591, 0.32447, 0.313928, 0.310368, 0.313928, 0.32447, 0.341591, 0.364631, 0.392705, 0.424735, 0.459489, 0.495632, 0.531775, 0.566529, 0.598559, 0.626633, 0.649674, 0.666794, 0.677336
0.645972, 0.643068, 0.634469, 0.620504, 0.601711, 0.578812, 0.552686, 0.524338, 0.494857, 0.465376, 0.437029, 0.410903, 0.388004, 0.369211, 0.355246, 0.346647, 0.343743, 0.346647, 0.355246, 0.369211, 0.388005, 0.410903, 0.437029, 0.465377, 0.494858, 0.524339, 0.552687, 0.578812, 0.601712, 0.620505, 0.634469, 0.643068
0.616908, 0.614549, 0.607563, 0.596217, 0.580949, 0.562344, 0.541118, 0.518087, 0.494136, 0.470184, 0.447153, 0.425928, 0.407323, 0.392055, 0.38071, 0.373723, 0.371364, 0.373717, 0.380709, 0.392055, 0.407323, 0.425928, 0.447153, 0.470185, 0.494136, 0.518088, 0.541119, 0.562345, 0.580949, 0.596217, 0.607563, 0.614549
0.592623, 0.590718, 0.585075, 0.575912, 0.563583, 0.548558, 0.531417, 0.512817, 0.493475, 0.474132, 0.455533, 0.438391, 0.423367, 0.411036, 0.401874, 0.396232, 0.394327, 0.396232, 0.401874, 0.411036, 0.423366, 0.438391, 0.455532, 0.474132, 0.493475, 0.512817, 0.531417, 0.548558, 0.563582, 0.575913, 0.585075, 0.590718
0.572214, 0.57069, 0.566174, 0.55884, 0.548977, 0.536956, 0.52324, 0.508358, 0.492881, 0.477403, 0.462521, 0.448805, 0.436783, 0.426917, 0.419585, 0.415071, 0.413546, 0.41507, 0.419585, 0.426916, 0.436782, 0.448804, 0.46252, 0.477403, 0.49288, 0.508357, 0.52324, 0.536955, 0.548977, 0.558844, 0.566175, 0.57069
0.554928, 0.553725, 0.550165, 0.544382, 0.536602, 0.527121, 0.516303, 0.504566, 0.492359, 0.480153, 0.468415, 0.457598, 0.448116, 0.440335, 0.434553, 0.430992, 0.42979, 0.430992, 0.434553, 0.440335, 0.448116, 0.457597, 0.468415, 0.480152, 0.492359, 0.504565, 0.516302, 0.52712, 0.536601, 0.544382, 0.550165, 0.553725
0.540124, 0.539198, 0.536454, 0.531999, 0.526004, 0.518699, 0.510365, 0.501321, 0.491916, 0.482511, 0.473468, 0.465133, 0.457828, 0.451833, 0.447378, 0.444634, 0.443708, 0.444634, 0.447378, 0.451832, 0.457826, 0.465133, 0.473467, 0.482511, 0.491916, 0.50132, 0.510363, 0.518698, 0.526002, 0.531998, 0.536454, 0.539197
0.527255, 0.52657, 0.524538, 0.521239, 0.5168, 0.51139, 0.505218, 0.498521, 0.491556, 0.484592, 0.477895, 0.471723, 0.466313, 0.461873, 0.458574, 0.456543, 0.455857, 0.456543, 0.458574, 0.461873, 0.466313, 0.471722, 0.477894, 0.484591, 0.491556, 0.49852, 0.505216, 0.511388, 0.516797, 0.521238, 0.524537, 0.526569
0.515845, 0.515374, 0.513976, 0.511706, 0.508652, 0.50493, 0.500683, 0.496075, 0.491283, 0.486491, 0.481883, 0.477636, 0.473914, 0.470859, 0.46859, 0.467192, 0.46672, 0.467192, 0.46859, 0.470859, 0.473914, 0.477636, 0.481883, 0.48649, 0.491282, 0.496074, 0.500681, 0.504927, 0.508649, 0.511704, 0.513975, 0.515373
